Home_Losses_10_Gen_Form,Away_EMA_7_Gen_Form,HomeTeam_Spec_SMA_10_Form,AwayTeam_Spec_SMA_10_Form,AwayTeam_Spec_Wins_10_Form,Home_SMA_7_Gen_Goals_Pro,HomeTeam_Spec_EMA_5_Goals_Suffered,HomeTeam_Spec_EMA_10_Goals_Suffered,AwayTeam_Spec_SMA_3_Corners_Against,AwayTeam_Spec_EMA_7_Fouls_Against,AwayTeam_Spec_SMA_7_Yellows_Against,Home_SMA_5_Gen_ShotsTarget_Pro,Away_EMA_7_Gen_ShotsTarget_Against,Home_EMA_7_Gen_Shots_Pro,Home_SMA_5_Gen_Shots_Against,Away_SMA_7_Gen_Shots_Against,Home_EMA_10_Gen_GD,Away_EMA_5_Gen_GD,AwayTeam_Spec_EMA_10_GD,Home_SMA_7_Gen_Clean_Sheet,HomeTeam_Spec_EMA_10_Clean_Sheet,AwayTeam_Spec_EMA_3_Clean_Sheet,Away_EMA_7_Gen_FTS,Avg_Odds_Home,Avg_Odds_Away,FTR
3.0,0.4781582293256146,0.6,0.3,5.0,1.1428571428571428,1.122809133993968,0.8980302683751531,8.0,12.647221349190067,1.5714285714285714,4.6,4.536230568395965,9.6590220774891,8.2,10.428571428571429,-0.0412796848403789,1.247936080730356,0.3902257264806195,0.2857142857142857,0.4144499770656873,0.5112414467253177,0.1072289163918701,2.466,2.466,H
7.0,-0.0431996229057121,-0.1,-0.3,3.0,0.8571428571428571,1.3335975872468762,1.2856202888147483,6.666666666666667,10.124736363939538,0.5714285714285714,2.8,5.441841876949495,7.113949233781088,15.4,12.571428571428571,-0.4197364223370139,-0.1108469947659305,-0.5312325076591803,0.4285714285714285,0.4407325942535928,0.0019550342130987,0.3171030426439155,2.52,2.424,H
5.0,-0.1385746000704487,0.1,-0.3,1.0,0.7142857142857143,1.1026971133132275,1.2619373164245,3.6666666666666665,11.707346035024814,1.1428571428571428,5.2,6.236375184923204,9.81876610476339,14.6,11.571428571428571,-0.347952543973744,-0.5861078515074362,-0.551672783210877,0.2857142857142857,0.3075828680377676,0.1251221896383186,0.1100680384875243,2.11,2.97,H
4.0,0.0277574538450649,-0.2,0.3,6.0,2.4285714285714284,1.6960620422231798,1.591534911596864,7.333333333333333,10.46341332778186,1.1428571428571428,5.6,4.9110148345793165,12.808221340523865,11.4,11.0,0.2835963350033145,-0.18349782623252,0.941243561152434,0.0,0.0630136125026848,0.1681329423264907,0.447509661113956,2.5740000000000003,2.394,H
5.0,0.2169701024593487,0.1,-0.4,2.0,0.7142857142857143,0.7308322720289668,1.0041392993458031,6.666666666666667,13.025953814297134,1.4285714285714286,4.0,3.866979606054685,8.018774818536762,10.8,8.0,-0.4493014727667442,0.3387608512091496,-0.5977382774144675,0.2857142857142857,0.4490350315389976,0.5865102639296188,0.2877851992878155,2.22,2.81,D
5.0,-0.4336576435378595,0.1,-0.6,1.0,1.2857142857142858,1.076760017233951,1.2569810546427087,6.666666666666667,9.868488681966232,0.5714285714285714,4.6,7.176433183210414,10.189148281556944,11.6,17.428571428571427,-0.480870196799858,-0.7903897771356426,-1.4248931116895276,0.1428571428571428,0.2348777474951471,0.0312805474095796,0.2907498997995248,1.828,3.64,H
3.0,0.5163973060365668,0.5,0.0,4.0,1.4285714285714286,0.9099009047824214,0.7683487996034963,4.333333333333333,12.946328902596898,1.1428571428571428,5.0,4.0840975812602665,9.08085327731178,11.2,10.571428571428571,-0.109075154678412,0.7728700539146565,-0.7435923881582674,0.1428571428571428,0.3722673108448818,0.0821114369501466,0.0465213948134517,1.98,3.2,H
3.0,-0.0151546694715642,0.1,-0.3,1.0,2.0,0.8035501938819476,0.961214284392656,5.0,12.305784663133654,1.4285714285714286,5.4,5.506224444460269,9.559552892985993,8.6,11.428571428571429,0.781009941549512,0.1841064830130921,-0.6432604286401432,0.1428571428571428,0.4017143138751116,0.0625305324865657,0.2497454817309423,1.682,4.2700000000000005,H
6.0,-0.32819965922718,0.0,-0.2,2.0,0.7142857142857143,1.2630762602326584,1.0230701536965523,6.0,12.636676136879888,1.5714285714285714,5.6,5.863303487536772,11.317949230131427,11.6,8.857142857142858,-0.9252784868504128,-0.611268626415848,-0.3574727177704661,0.2857142857142857,0.4358667837899785,0.0312652662432828,0.1738935444424418,1.962,3.3,H
4.0,-0.3295642630258354,-0.2,-0.6,1.0,2.142857142857143,2.01978457561396,2.0715202460908,9.333333333333334,8.743839735414872,0.8571428571428571,6.0,5.343839784885437,10.876036123870398,11.4,11.857142857142858,0.2214946265800874,-0.712394431506351,-0.7319483913758474,0.0,0.1150495449123094,0.0,0.3361011295672143,1.61,4.66,A
