Date,HomeTeam,AwayTeam,Home_Spec_Goals_Pro,Away_Spec_Goals_Pro,Home_Gen_Goals_Pro,Away_Gen_Goals_Pro,Home_Spec_HT_Goals_Pro,Away_Spec_HT_Goals_Pro,Home_Gen_HT_Goals_Pro,Away_Gen_HT_Goals_Pro,Home_Spec_HT_Goals_Against,Away_Spec_HT_Goals_Against,Home_Gen_HT_Goals_Against,Away_Gen_HT_Goals_Against,Home_Spec_Goals_Suffered,Away_Spec_Goals_Suffered,Home_Gen_Goals_Suffered,Away_Gen_Goals_Suffered,Home_Spec_Corners_Pro,Away_Spec_Corners_Pro,Home_Gen_Corners_Pro,Away_Gen_Corners_Pro,Home_Spec_Corners_Against,Away_Spec_Corners_Against,Home_Gen_Corners_Against,Away_Gen_Corners_Against,Home_Spec_Fouls_Pro,Away_Spec_Fouls_Pro,Home_Gen_Fouls_Pro,Away_Gen_Fouls_Pro,Home_Spec_Fouls_Against,Away_Spec_Fouls_Against,Home_Gen_Fouls_Against,Away_Gen_Fouls_Against,Home_Spec_Offsides_Pro,Away_Spec_Offsides_Pro,Home_Gen_Offsides_Pro,Away_Gen_Offsides_Pro,Home_Spec_Offsides_Against,Away_Spec_Offsides_Against,Home_Gen_Offsides_Against,Away_Gen_Offsides_Against,Home_Spec_Yellows_Pro,Away_Spec_Yellows_Pro,Home_Gen_Yellows_Pro,Away_Gen_Yellows_Pro,Home_Spec_Yellows_Against,Away_Spec_Yellows_Against,Home_Gen_Yellows_Against,Away_Gen_Yellows_Against,Home_Spec_Reds_Pro,Away_Spec_Reds_Pro,Home_Gen_Reds_Pro,Away_Gen_Reds_Pro,Home_Spec_Reds_Against,Away_Spec_Reds_Against,Home_Gen_Reds_Against,Away_Gen_Reds_Against,Home_Spec_Points,Away_Spec_Points,Target
2000-08-26,Barnsley,West Brom,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,1.5,1.0,3.0,5.0,6.5,3.0,10.0,7.0,6.0,8.0,5.0,8.0,9.0,13.0,8.0,11.0,10.5,2.0,2.0,1.5,4.5,14.0,1.0,9.0,1.5,1.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
2000-08-26,Nott'm Forest,Birmingham,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,10.0,6.0,6.5,4.0,3.0,2.0,4.0,5.5,8.0,17.0,12.5,15.5,5.0,19.0,10.5,13.0,1.0,5.0,4.0,5.0,2.0,1.0,3.5,1.5,0.0,3.0,1.5,2.0,0.0,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,2.0
2000-08-28,Stockport,Huddersfield,1.0,3.0,1.6666666666666667,1.6666666666666667,0.0,3.0,1.0,1.6666666666666667,0.0,1.0,0.6666666666666666,1.0,1.0,2.0,2.0,2.0,7.0,4.0,4.0,7.0,4.0,8.0,8.0,6.0,15.0,18.0,14.333333333333334,17.0,8.0,13.0,8.333333333333334,14.333333333333334,2.0,4.0,1.3333333333333333,3.0,4.0,4.0,4.333333333333333,5.333333333333333,2.0,2.0,3.3333333333333335,1.0,0.0,2.0,0.6666666666666666,2.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,1.0
2000-08-28,Watford,Sheffield United,1.0,0.0,1.0,1.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,2.0,0.3333333333333333,0.6666666666666666,0.0,3.0,0.3333333333333333,1.0,11.0,9.0,7.333333333333333,7.0,9.0,3.0,7.0,3.6666666666666665,9.0,25.0,11.666666666666666,16.0,8.0,15.0,11.666666666666666,11.0,4.0,3.0,3.3333333333333335,6.333333333333333,1.0,3.0,2.3333333333333335,2.6666666666666665,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,0.6666666666666666,2.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
2000-08-28,Tranmere,Bolton,3.0,2.0,1.0,1.6666666666666667,3.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,2.0,0.0,1.3333333333333333,0.3333333333333333,8.0,2.0,4.666666666666667,2.6666666666666665,3.0,10.0,6.0,7.666666666666667,16.0,13.0,14.333333333333334,12.333333333333334,22.0,13.0,17.333333333333332,13.333333333333334,6.0,2.0,4.333333333333333,1.0,9.0,7.0,8.666666666666666,7.666666666666667,3.0,2.0,3.3333333333333335,1.3333333333333333,2.0,1.0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,2.0
2000-08-28,Sheffield Weds,Blackburn,2.0,0.0,1.3333333333333333,1.6666666666666667,1.0,0.0,0.6666666666666666,1.0,3.0,0.0,1.3333333333333333,0.0,3.0,0.0,1.3333333333333333,0.6666666666666666,8.0,4.0,4.666666666666667,5.333333333333333,4.0,0.0,6.0,2.6666666666666665,13.0,12.0,13.0,12.0,18.0,6.0,14.666666666666666,11.333333333333334,4.0,0.0,2.0,2.3333333333333335,4.0,1.0,3.3333333333333335,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0
2000-08-28,West Brom,QPR,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,2.0,1.0,2.3333333333333335,0.3333333333333333,10.0,1.0,4.666666666666667,2.0,2.0,8.0,6.0,6.666666666666667,13.0,16.0,9.666666666666666,14.666666666666666,13.0,15.0,10.333333333333334,14.0,7.0,3.0,4.0,1.6666666666666667,2.0,2.0,2.3333333333333335,3.0,1.0,1.0,1.0,1.6666666666666667,2.0,2.0,0.6666666666666666,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3333333333333333,0.0
2000-08-28,Portsmouth,Wolves,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,1.3333333333333333,0.6666666666666666,8.0,4.0,7.333333333333333,8.0,0.0,7.0,5.0,4.333333333333333,12.0,8.0,11.0,11.666666666666666,13.0,15.0,13.333333333333334,15.333333333333334,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,1.3333333333333333,0.3333333333333333,1.0,2.0,0.6666666666666666,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0
2000-08-28,Norwich,Fulham,0.0,3.0,0.6666666666666666,3.0,0.0,3.0,0.0,1.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,1.3333333333333333,0.6666666666666666,5.0,9.0,4.0,9.0,3.0,2.0,3.0,1.3333333333333333,16.0,7.0,13.333333333333334,6.333333333333333,17.0,14.0,11.666666666666666,12.666666666666666,5.0,2.0,7.0,2.3333333333333335,7.0,5.0,4.0,2.6666666666666665,1.0,2.0,1.3333333333333333,1.3333333333333333,3.0,1.0,2.6666666666666665,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,-0.6666666666666666,1.0,2.0
2000-08-28,Crystal Palace,Nott'm Forest,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,1.3333333333333333,0.6666666666666666,8.0,3.0,5.333333333333333,8.333333333333334,1.0,5.0,6.0,3.6666666666666665,15.0,17.0,15.0,11.0,16.0,16.0,15.333333333333334,8.666666666666666,2.0,7.0,4.333333333333333,3.6666666666666665,3.0,5.0,3.3333333333333335,3.3333333333333335,2.0,3.0,2.6666666666666665,1.6666666666666667,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
